,city,cases
754,SAN ZENON,35
755,SANTA CATALINA,35
756,UBAQUE,35
757,VIOTA,34
758,ARBOLEDAS,34
759,GUATAVITA,34
760,CHIQUIZA,33
761,MARULANDA,33
762,SAN ESTANISLAO,33
763,HERRAN,33
764,TOTA,33
765,UNGUIA,33
766,RAQUIRA,33
767,MUTISCUA,32
768,CUNDAY,32
769,CARACOLI,32
770,DURANIA,32
771,SAN LORENZO,32
772,PASCA,32
773,BAJO BAUDO (PIZARRO),32
774,CUCAITA,32
775,ANGELOPOLIS,32
776,LEJANIAS,32
777,PAUNA,31
778,REMOLINO,31
779,PAEZ,31
780,AMBALEMA,31
781,EL COCUY,31
782,TAMARA,31
783,SAN CALIXTO,31
784,LA PRIMAVERA,31
785,PURISIMA,31
786,PINCHOTE,30
787,CAMPAMENTO,30
788,SAN MARTIN DE LOBA,30
789,ALTOS DEL ROSARIO,30
790,TIBACUY,30
791,ELIAS,30
792,ZIPACON,29
793,CHITARAQUE,29
794,CALIFORNIA,29
795,IZA,29
796,CONDOTO,29
797,ARBOLEDA (BERRUECOS),29
798,GUALMATAN,28
799,SILOS,28
800,SIACHOQUE,28
801,EL CAIRO,28
802,MEDIO SAN JUAN,28
803,PARATEBUENO,28
804,PUENTE NACIONAL,27
805,MACHETA,27
806,COLOMBIA,27
807,QUETAME,27
808,SABOYA,27
809,SOTAQUIRA,27
810,MATANZA,26
811,BOYACA,26
812,ANCUYA,26
813,COLOSO (RICAURTE),26
814,ZAPAYAN,26
815,OICATA,26
816,POTOSI,26
817,LA JAGUA DEL PILAR,26
818,BOAVITA,26
819,CIENEGA,25
820,PADILLA,25
821,TOPAIPI,25
822,HATILLO DE LOBA,25
823,VILLAHERMOSA,25
824,FUQUENE,25
825,SAN JOSE DE LA MONTANA,25
826,LA PALMA,25
827,GUAYABETAL,24
828,ALEJANDRIA,24
829,SIMACOTA,24
830,SAN JOSE DE PARE,24
831,PALOCABILDO,24
832,SURATA,23
833,ABRIAQUI,23
834,UMBITA,23
835,PUEBLORRICO,23
836,PUERTO CONCORDIA,23
837,TONA,22
838,PRADO,22
839,RECETOR,22
840,TOPAGA,22
841,SOTARA,22
842,MONGUA,22
843,CERINZA,21
844,TOGUI,21
845,MEDIO BAUDO (BOCA DE PEPE),21
846,ALMAGUER,21
847,TARAPACA (CD),21
848,EL CARMEN,21
849,BUCARASICA,21
850,VALLE DE SAN JUAN,21
851,HACARI,21
852,CERTEGUI,20
853,FALAN,20
854,TIBANA,20
855,CAPITANEJO,20
856,LABATECA,20
857,TIMBIQUI,20
858,DOLORES,20
859,HERVEO,20
860,OLAYA,19
861,ZETAQUIRA,19
862,BELMIRA,19
863,MAPIRIPANA (CD),19
864,JENESANO,19
865,VIANI,19
866,ILES,19
867,VIRACACHA,18
868,REGIDOR,18
869,VILLA CARO,18
870,PUERTO LLERAS,18
871,CRAVO NORTE,18
872,SANTA HELENA DEL OPON,18
873,SAN LUIS DE GACENO,18
874,COVARACHIA,18
875,CANTON DE SAN PABLO (MANAGRU),17
876,VALLE DE SAN JOSE,17
877,SORA,16
878,SUTATENZA,16
879,COELLO,16
880,MOGOTES,16
881,CARMEN DEL DARIEN,15
882,SAN JOAQUIN,15
883,GAMBITA,15
884,NUEVO COLON,15
885,LA URIBE,15
886,FOSCA,15
887,BOJAYA (BELLAVISTA),14
888,EL GUAMO,14
889,COPER,14
890,LLORO,14
891,OSPINA PEREZ (VENECIA),14
892,SAN MIGUEL,14
893,LA CHORRERA (CD),14
894,ARROYOHONDO,14
895,OCAMONTE,14
896,LA PLAYA,14
897,QUEBRADANEGRA,13
898,SAN JUAN DE RIO SECO,13
899,GAMEZA,13
900,RONCESVALLES,13
901,JUNIN,13
902,GUEPSA,13
903,CABRERA,13
904,EL AGUILA,13
905,CHAMEZA,13
906,TUNUNGUA,13
907,CHIVATA,13
908,PANA PANA (CAMPO ALEGRE) (CD),13
909,GACHALA,13
910,MOLAGAVITA,12
911,MEDINA,12
912,CASABIANCA,12
913,BARICHARA,12
914,SUSA,12
