day,Colombia,Italy,Spain,Peru,Ecuador,Argentina,Chile,Venezuela,Brazil,Mexico
102,53063.0,219814,228030,232992.0,44440.0,28764.0,193452.0,4187.0,672846.0,120102.0
103,54931.0,221216,228691,237156.0,44440.0,30295.0,201634.0,4366.0,691758.0,124301.0
104,57046.0,222104,229540,240908.0,45778.0,31577.0,208572.0,4563.0,707412.0,129184.0
105,60217.0,223096,230183,244388.0,46356.0,32785.0,213715.0,4779.0,739503.0,133974.0
106,63276.0,223885,230698,247925.0,46751.0,34159.0,218728.0,5130.0,772416.0,139196.0
107,65633.0,224760,230698,251338.0,47322.0,35552.0,220628.0,5297.0,802828.0,142690.0
108,68652.0,225435,231606,254936.0,47943.0,37510.0,225103.0,5530.0,828810.0,146837.0
109,71183.0,225886,232037,257447.0,48490.0,39570.0,231393.0,5832.0,850514.0,150264.0
110,73572.0,226699,232555,260810.0,49097.0,41204.0,236748.0,6062.0,867624.0,154863.0
111,77113.0,227364,233037,264689.0,49731.0,42785.0,242355.0,6273.0,888271.0,159793.0
112,80599.0,228006,234824,268602.0,49731.0,44931.0,246963.0,6537.0,923189.0,165455.0
113,84442.0,228658,235290,272364.0,50640.0,47203.0,250767.0,6750.0,955377.0,170485.0
114,88591.0,229327,235772,275989.0,50640.0,49851.0,254416.0,7169.0,978142.0,175202.0
115,91769.0,229858,235400,279419.0,51643.0,52457.0,259064.0,7411.0,1032913.0,180545.0
116,95043.0,230158,236259,282365.0,51643.0,55343.0,263360.0,7693.0,1067579.0,185122.0
117,97846.0,230555,236259,285213.0,53156.0,57744.0,267766.0,8008.0,1083341.0,191410.0
118,102009.0,231139,237906,288477.0,53856.0,59933.0,271982.0,8372.0,1106470.0,196847.0
119,106110.0,231732,238564,292004.0,54574.0,62268.0,275999.0,8803.0,1145906.0,202951.0
120,109505.0,232248,239228,295599.0,55255.0,64530.0,279393.0,9178.0,1188631.0,208392.0
121,113389.0,232664,239479,299080.0,55665.0,67197.0,282043.0,9465.0,1228114.0,212802.0
122,117110.0,232997,239638,302718.0,56432.0,69941.0,284541.0,9707.0,1274974.0,216852.0
